F_AD,F_AE,F_AH,F_AX,F_BC,F_BG,F_BO,F_BP,F_C,F_CA,F_CC,F_CD,F_CF,F_CL,F_CT,F_DL,F_DM,F_DT,F_DX,F_DZ,F_EB,F_EC,F_ED,F_ES,F_F,F_FB,F_FC,F_FL,F_FM,F_FP,F_FV,F_FY,F_GC,F_GD,F_GS,F_GX,F_HG,F_HO,F_HP,F_JY,F_KC,F_LB,F_LC,F_LN,F_LQ,F_LR,F_LU,F_LX,F_MD,F_MP,F_ND,F_NG,F_NQ,F_NR,F_NY,F_O,F_OJ,F_PA,F_PL,F_PQ,F_RB,F_RF,F_RP,F_RR,F_RU,F_RY,F_S,F_SB,F_SF,F_SH,F_SI,F_SM,F_SS,F_SX,F_TR,F_TU,F_TY,F_UB,F_US,F_UZ,F_VF,F_VT,F_VW,F_VX,F_W,F_XX,F_YM,F_ZQ
78042.31176139173,108546.9986387212,8813.221779752581,322600.3408813742,66710.51288442608,60458.83608679781,19973.251039606657,84751.88169933004,17554.943228633376,53084.99681448059,18918.474832338372,79505.9262092664,160900.13561213325,60117.21447334611,39208.23367565392,28218.67346125201,130627.73279532546,161855.6510520405,91917.06992117483,25262.653871376722,250811.99318889712,150553.49668178573,245595.7505969516,133687.27851055266,251856.97760307175,9123.984395242906,71478.75155005953,55596.04138082583,23647.845697996425,38893.582295335036,116099.55997218263,19325.711800692425,130322.84763120043,110378.09642940864,125182.07375336623,164125.21584352024,82330.62191001809,86893.28863235092,30096.020253783427,111385.19024402801,47388.92960317626,48478.04379350255,48465.59899557075,28753.790444857645,99810.38153033459,30161.34473978699,94885.30226205695,76358.67367452124,189953.83729394144,25080.80734379518,70931.6468170969,29636.010203996386,127993.73438631953,23650.183122706534,113823.04778389704,12035.165923456412,20539.81017028741,105357.1318928609,46818.01962836084,53773.34335514603,75163.17575341553,146165.52461773498,111249.8800303626,8598.622513416622,153604.4025984879,16930003.738674715,48147.69783988707,16927.462380208006,129067.3604354245,25857.158413801328,85224.72536591432,31721.99769342844,124184.42692473436,92535.03373035247,39861.45634496353,214101.95908845874,123982.50426077379,131639.19541133713,152786.7475057463,111977.81746228186,128018.49499266432,149108.82365628475,112257.92069051914,11638.43826007726,21400.67336755439,31460.41084096794,123579.90825769147,410595.56357282924
78161.82427913147,108454.35714933128,8810.126385233634,322634.6818061528,66799.20381825046,60439.60204486575,20005.8793428211,84750.27066006357,17562.93242244648,52990.71324468404,18996.515180981143,79558.57075466792,160897.44997840116,60175.06306294991,38835.52577025753,28241.316934214607,130620.52784856319,161852.53107883554,91894.25584597117,25263.38190733177,250814.27916649455,150597.0335087407,245596.53634290223,133731.31497448194,251856.97854719489,9124.451203031364,71677.31991056177,55595.50509668715,23653.163448947762,38881.08743628279,116065.9321873021,19313.52100101652,130589.75232382584,110385.99796648361,125199.40565418766,164142.97286766928,82250.91061659384,86921.2147201618,30098.75186767821,111435.12615456694,47724.98094919366,48679.98695375106,48487.00209020806,28796.42564280182,100126.9191541097,30158.80907819874,94817.8132608188,76324.59982872654,189987.66028871562,25082.421035179046,70936.74070778594,29662.18440192185,128050.96304123879,23632.95888802974,113880.76120522086,12031.379384448192,20530.805743829547,105406.64931474242,46846.48063033438,53965.648794099674,75078.6807785733,146163.1584634222,111246.58580190665,8599.885410530705,153690.57549033925,16935143.269783653,48165.711350501486,17021.54119257197,129059.75235409397,25859.67067641003,85374.77007014334,31718.91820874897,124185.04808226717,92565.05526427465,39853.39582823133,214087.0350001915,123937.75452268311,131631.68385233422,152783.63033558437,111977.68709382798,128018.0423615301,149116.0247378488,112257.71352192103,11678.326822583016,21399.38927803834,31454.302888191396,123553.28059792308,410597.31066819787
78325.271855909,108472.4070745245,8844.13313516993,321085.99020081584,66488.12334056693,60008.127743524405,20158.436348281055,85270.16612541409,17677.206618683267,52797.08146036284,19269.462354761705,79997.26518718826,160930.42357581202,60377.35361213475,38669.047936564726,28115.147149611134,130318.66806770113,161481.26487976778,91592.83723779178,25499.89940640513,250815.1376793487,151348.76023698962,245521.69347818248,134852.9919787121,251828.02737654804,9127.0676546334,73313.4564850595,55859.89337019664,23675.517043718366,38971.48867076969,115943.2939271473,19270.624077588298,131917.7419252569,110579.40186662662,124194.158597492,162804.0078991662,81956.53016313829,86461.94914845837,30624.298974456095,111807.01320866992,48944.23312395613,49441.18914291882,49374.343617282204,28249.610936002817,101392.55917739347,30568.833305420838,95877.11755179838,75819.20952214238,191965.35472243614,25265.034926142464,71022.72828411103,30222.49491030514,130452.13276537533,23462.68985229287,114151.76341908735,12103.404732188745,20522.912486059533,108432.2733939297,47503.276754153594,54726.55675705266,73998.04451727492,146299.35510326177,111013.28902103307,8631.62610403523,154860.36060456658,16927338.7182033,48277.849652354074,17117.338832895122,129299.5586220741,25871.451274441068,85917.6041747473,31807.818781949896,124167.17328648575,92593.28467702206,39731.10887676594,213957.6161652096,123657.49758331725,131581.79701467662,151688.84991348317,111958.68212708228,128049.14724648483,148853.6671036532,112269.02326367784,11246.538614135465,21691.40996383221,31349.074610508997,124048.00429380691,410577.86423385906
78379.58954195102,109449.61683703728,8845.366082974473,324600.36443839135,67682.54214771464,60832.57374795472,20369.32830967124,84769.83513776565,17668.71122249178,53201.211148899536,19070.00571568488,79786.44984784338,160952.2855565107,61669.49737768908,39037.59202468564,28162.96379883248,132009.0332256827,161729.1277376758,91897.41664462518,25970.795985733675,250818.83366450007,150862.08208392726,245539.34399530067,135623.99897288496,251831.2862916981,9145.597520665739,73086.94515925182,54945.306509683374,23845.474052895697,39299.941533125224,115963.08454774095,19418.14270104939,131408.90754739149,111695.41551256266,124898.02450166189,163959.3935882725,81300.8898669522,87442.42215323556,30089.217249351488,111529.0789726105,48304.7231077605,49867.03272380408,49085.74497834214,28350.85196381018,101735.66076802266,30913.14801434377,95157.7965482152,76191.91158964612,192482.9952525295,25521.97738097965,70832.01016964059,30110.75051888024,131740.85549682268,23254.605554414993,115861.26521756731,12191.666481969238,20985.860045395362,107478.49754640601,48159.5262873757,55451.37838952516,75550.54924672507,146618.14129138435,111329.29042445759,8681.123179133154,155534.84974100767,16912389.08407531,48499.07993462601,17104.039301995414,128528.61675410012,26159.410451931268,85828.14806069434,31878.202924145124,124186.27240071267,93726.28125061681,39992.41436247722,213904.8545241501,123788.7040436302,131694.08846643363,152306.26424516126,111979.92904620587,128123.2794151709,149086.93670828713,112272.30221062418,11059.385578643723,21801.735597144238,31557.40866383555,124463.26262365558,410559.5730417766
78571.69197448003,110556.27436591688,8842.006949791506,328775.1947465694,67864.07591672605,60915.656254047455,20333.80700408167,84975.0614966172,17562.501410421424,54018.89616845376,19020.42728828488,80100.90864065412,160863.4114472565,61951.725925078135,39612.1538671489,28162.07393864221,133738.09829988208,161759.35332102206,91579.56680298537,26211.76769153681,250812.74049001522,151462.59050947014,245468.61344709303,136452.60894172167,251828.15944420092,9261.438440474716,72848.96973221324,54126.13157862985,24022.124634885142,39640.14968480527,115884.38077973716,19571.348468605942,132111.09346053004,111705.8623045106,124688.71184528884,164441.51382156427,81465.17828715045,86916.25124636508,28874.43305926714,111316.06659038867,48628.29870104816,50228.07941866754,48817.17364012381,28566.19805318714,103966.46256727359,30844.107189800743,94722.04300186619,76330.5752864628,193161.8525234294,25606.043425232216,71412.63002548367,28760.107587501985,132364.06374384055,23384.822870798213,118187.47389693608,12272.433799481405,20893.22998055645,108903.31547577056,48506.88937620453,56035.222426903165,75541.7851341627,147010.6013961621,111540.57342767356,8725.980158067052,155853.85700298863,17020664.072578587,48420.02933632577,17092.505338504146,128827.74567721509,26329.7270960894,86030.77584947122,31987.74202346161,124195.798747253,94140.34194651652,40180.67187308864,213838.38011544922,123674.43950962913,131647.47558502096,152153.1085954169,111954.31574279166,128100.21114613187,149156.05347178425,112267.96127927589,10927.94412239944,21720.49786123921,31769.21853693403,125408.0779284632,410536.49540776253
78570.96199841572,111243.45694431964,8782.198894271329,332626.38813136803,67565.59087576933,60847.19208049572,20258.369670388776,85074.77589388535,17584.80915438692,54696.171885914206,18992.938070748223,80632.38135039646,160926.55275139565,61423.16825922473,39017.61178626215,27957.587313263306,134969.99334683781,161785.74395351356,91715.7043102131,26413.30875388633,250814.0872384044,150972.6560293294,245479.74724147972,137285.3734236603,251831.1990845881,9283.907615334881,70845.51103051181,53722.54439423163,24250.368874067153,39871.778400952506,115827.21523208648,19738.312528151702,131658.83070419647,110821.38226228459,124681.46306788523,163866.11090408434,80884.22187681322,86535.72621242158,28072.175311688257,110980.00040310818,48321.54832060622,50699.038191399195,47596.460067509564,28588.274730776593,104086.10367798139,30778.94166453914,95141.47764933985,76507.28728733322,193787.13359133006,25755.836169296523,71604.01952418927,27820.67505024421,133424.72815923888,23497.75672778754,119055.95759298965,12455.057876334775,20779.616244980083,108242.67940646445,48797.088054611595,55979.71941246529,74984.09923766123,146804.0925434987,111095.54597001102,8701.709966502596,156148.1945363392,17038929.144377798,48589.465053447035,16856.374019399846,128853.60857791021,26560.335496507058,86041.28637626616,32208.52862802231,124180.22464166074,94245.38310515355,40123.852781979214,213806.59387800115,123504.10937731795,131686.16983373638,151929.94149218395,111959.20576529599,128116.21883201865,149138.67127563394,112268.40260421479,10869.613890588022,21552.03690596202,32008.650752000944,126496.94932640849,410513.26039998676
78324.18597862335,111677.61374187353,8772.336797993823,334147.81497275434,67729.83753561955,60529.88221418049,20113.97331157291,85080.39468872559,17372.246254206828,54868.50863381236,19116.63914368165,80575.1700753437,160971.19502494799,61762.6235489776,38959.24066065222,27710.715421119523,134950.61780473913,161953.36546364854,92117.56093518234,26701.366008619352,250813.535754523,150226.36806671193,245477.4740175692,137485.03065583087,251827.44903702865,9311.810230535544,71021.1647477148,53014.969248836875,24372.241210633118,40013.2463582295,115856.44933055955,19820.782324031854,131788.34336591425,110925.597070284,124840.04709014404,164349.85537463866,80720.87497841276,86174.6160570301,28273.687586552365,110923.82101488253,46995.88183099671,50179.41584970453,46773.364100014885,29208.136690130803,105282.33435684945,30844.702278333843,95288.10575843128,76320.52006364719,194671.72368019738,25687.27276625543,71640.98784908172,28313.61305799485,133804.2346881472,23738.594824462267,119892.24786558881,12515.668309395143,20862.856615690074,109072.71975091512,48911.5785347062,56304.635556223955,75269.77613656333,146115.11789253005,110384.279794982,8673.736525003818,156183.3952858679,16912094.618283443,48357.718327320756,16569.769947394518,128500.58124877431,26670.53445451022,85647.79209957577,32154.984260859736,124171.95492490317,94212.14936416417,39850.40281585127,213812.3182975562,123544.7398159343,131750.94646788813,151817.58339538978,111978.72747011903,128200.14309193897,149356.30470520986,112284.89453006958,11781.651906614514,21422.518387856093,32145.954787142993,126460.0017453334,410534.9218651627
78150.10180921425,112011.21627611053,8813.47607543938,334569.38757499546,68900.15800743304,60932.857225909975,20197.632848279718,84907.03182661219,17468.90247226636,55192.8784372959,19004.21964821402,80250.91325248986,160670.69442091562,63324.76689127942,39102.40125824843,27719.914613402238,135579.2245674725,161529.37045015316,92287.81412631298,26856.187638269494,250814.04631501614,149792.87619349023,245462.79220869657,137711.08781276556,251831.24109901517,9377.501661639502,71490.56540884473,53730.040203678574,24450.737924364363,40247.832856976,115578.78647731555,19900.907595209857,131102.10411040924,112038.75414771707,124307.69483687414,162569.11545919243,80557.7170251747,86994.20893285668,29421.44108231416,111398.75948758172,47019.92012780468,50496.68997149383,47008.57718463135,29203.911895060082,105944.30778852961,30736.260101937343,94976.46313725808,76672.90865904624,194356.23042175872,25651.553719298237,71530.57476521353,29429.160246684474,133702.53685138706,23871.431135714683,119409.8611069703,12463.398971196053,20527.096541601357,109123.2969296555,48542.47193930945,56441.172062096826,77168.98255783686,146607.82310667483,110386.23445281731,8714.091742010363,155972.83056695975,16789333.75778096,48218.00996257935,16543.723083032928,127691.51964976359,26794.124530702844,84960.85785508783,31832.916233998803,124170.70248215052,94680.77698815647,40044.31526894138,213795.72211299228,123000.01258854124,131644.45073189947,150171.74955951152,111970.60108873062,128100.61321512442,148932.16593678464,112277.14035475903,11863.326418781817,21625.848902627175,32238.374705860286,126953.21612768741,410537.84269094176
78359.08331006915,111556.03894620558,8813.047023761206,331683.17058878584,68963.13773185191,61221.40559003857,20061.379286590338,84688.63909910548,17460.435373282457,55032.1697769569,19307.74424640821,79740.73262377661,159755.43279989625,63382.80010611471,39927.59655735494,27695.107352302974,134441.05960236187,161295.66415323474,92104.6536481915,26424.485006648323,250814.4427117509,149971.47761333853,245445.41805940575,137627.45576753793,251830.815796584,9566.89040882004,71173.37923556785,53318.51347294751,24262.3258143641,40262.21462662981,115555.94251995557,19798.05328372003,131685.62291647232,112455.90303995262,124151.54003062245,162369.4096152281,80929.43696548423,87238.13508165395,28792.53532938967,112599.53578647855,46642.80486038379,50783.3777091561,47399.17803913504,30234.065455298674,104712.5874895969,30886.797624897456,94495.39288437268,76771.08880550443,193535.25148893506,25628.486983680978,71931.53990937863,29049.87752366549,133511.62102667615,23723.82827205822,118480.6546693205,12584.94177122338,20594.759068716052,107544.99095385846,48825.54658533505,56484.50378078866,76862.19442383404,146104.83735550084,110843.5115428552,8691.551751194356,156153.48788122577,16640275.782188622,47767.420012086746,16470.919457990636,128328.57257438455,26526.747506186493,85132.24629744882,31656.019730069103,124146.36840119663,93976.9684197077,39666.25338103428,213776.8407226579,122982.33543411683,131593.85750736762,149703.7554573471,111969.6610250404,128003.84095388185,148679.26257820363,112267.36233959887,11747.027416293982,21750.145601617874,32173.529624268835,126826.94182961671,410537.60115418816
78774.97784895623,111270.90770162267,8814.855737457121,329654.65198835137,69089.19914068037,61506.90555154097,19900.85162717811,84876.41535071799,17447.824300416713,54797.212650636335,19199.624212472205,79852.60064303491,159215.59645290175,63668.92027479918,41297.84108084191,27674.54426741682,134124.16537049224,160587.49136847304,91599.69951281007,26533.330206344664,250801.07433400926,150843.60384649193,245444.90926558065,138668.55504687282,251830.72178401417,9602.728766926999,70689.44631910982,54044.11779406753,24179.496225598545,39918.24013145106,115637.66574421605,19760.321230301037,132106.96614095796,112577.58438959849,123902.14178736352,161902.34361959356,80663.3032721086,86693.75892314577,30931.350633478793,112764.76616804939,46196.29292670831,51187.847432563794,47514.428199690024,29473.06692974397,104400.8431598661,30975.88195046573,94349.80411618647,77064.39991356309,196195.5233372394,25640.632895488616,72452.2675687073,29385.86103987202,134749.46125098766,23393.439864248132,119058.42047320264,12561.608356266584,20536.87847741753,107509.67075327763,49498.15065477323,56255.20388400865,76885.7329464978,146807.44130302418,111378.50433070469,8780.79084886896,158629.16243686865,16717269.112612037,47570.1465902418,15984.606409730635,128306.59655976169,26567.61560731478,85026.03273574519,31342.006477684972,124146.39381339631,93966.96778323206,39849.360933758995,213758.85428746577,123065.76386996389,131187.6164595,150009.6553791775,111870.13681318617,127719.8015125775,148166.94000528223,112209.97329477621,11668.01206808476,21680.439758797536,32099.300388080177,126952.37017382402,410538.20439806243
79034.53026151736,111584.28395372107,8876.216730837721,329897.42925591674,69958.49329773276,61939.11085795795,19881.59255364714,86113.4883947324,17327.61929297548,54997.68428624152,19134.252920183644,80239.81807249231,159352.52752879212,64091.22895687046,40837.820273614045,27515.6853692023,133841.67475906407,160594.1472429394,90722.63039685407,26542.10447853829,250801.51680300696,153035.4973254214,245382.41756621256,139622.1760092721,251779.76124460858,9606.143821176942,71370.36197422653,54697.62125000395,24301.146079669783,39925.744366744315,115481.66583943182,19798.749660967274,133638.59006162762,113130.84886020099,123829.5836388932,162106.23074594117,80628.69671068055,88234.046293541,31783.858493304975,112988.90784171176,45985.95700523136,51272.31221220033,47762.3994371773,29747.197484977467,105240.9681534281,31125.605939707184,94196.89565912072,77081.60763692332,196888.6280093497,25983.331246961097,72415.41242924964,29721.554934530966,135550.23897221778,23597.608632371554,119102.12934942494,12498.214032958536,20527.083857777907,111270.93111274121,49952.98198346731,56078.96275448419,78031.65530491245,147411.8035028404,111029.46912511984,8758.069739422072,159628.12456972944,16918657.5620334,48096.293404765805,15927.394392526905,129838.77099853048,26667.872470708844,86175.64400241458,31694.768332006406,124132.60639192826,94222.8048308048,40076.327073981745,213661.76696535808,122990.17662499368,131153.20363298556,150361.23353924503,111876.5871511222,127666.74525480164,148085.22870228588,112210.72297495358,11675.488795384112,21013.0156646915,32145.912862608107,129121.50999734027,410515.70295584283
