DATE,USA_BOT,USA_BC,USA_CPI,USA_EXPX,USA_IMPX,USA_CPIC,USA_NFIB
2010-01-04,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-05,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-06,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-07,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-08,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-11,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-12,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-13,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-14,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-15,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-18,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-19,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-20,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-21,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-22,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-25,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-26,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-27,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-28,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-01-29,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-02-01,-37203.0,55.3,217.347,119.7,124.4,2.7,88.0
2010-02-02,-37242.0,55.415,217.35405,119.75,124.475,2.695,88.065
2010-02-03,-37281.0,55.53,217.3611,119.8,124.55,2.69,88.13
2010-02-04,-37320.0,55.645,217.36815,119.85,124.625,2.685,88.195
2010-02-05,-37359.0,55.76,217.3752,119.9,124.7,2.68,88.26
2010-02-08,-37398.0,55.875,217.38225,119.95,124.775,2.675,88.325
2010-02-09,-37437.0,55.99,217.3893,120.0,124.85,2.67,88.39
2010-02-10,-37476.0,56.105,217.39635,120.05,124.925,2.665,88.455
2010-02-11,-37515.0,56.22,217.4034,120.1,125.0,2.66,88.52
2010-02-12,-37554.0,56.335,217.41045,120.15,125.075,2.655,88.585
2010-02-15,-37593.0,56.45,217.4175,120.2,125.15,2.65,88.65
2010-02-16,-37632.0,56.565,217.42455,120.25,125.225,2.645,88.715
2010-02-17,-37671.0,56.68,217.4316,120.3,125.3,2.64,88.78
2010-02-18,-37710.0,56.795,217.43865,120.35,125.375,2.635,88.845
2010-02-19,-37749.0,56.91,217.4457,120.4,125.45,2.63,88.91
2010-02-22,-37788.0,57.025,217.45275,120.45,125.525,2.625,88.975
2010-02-23,-37827.0,57.14,217.4598,120.5,125.6,2.62,89.04
2010-02-24,-37866.0,57.255,217.46685,120.55,125.675,2.615,89.105
2010-02-25,-37905.0,57.37,217.4739,120.6,125.75,2.61,89.17
2010-02-26,-37944.0,57.485,217.48095,120.65,125.825,2.605,89.235
2010-03-01,-37983.0,57.6,217.488,120.7,125.9,2.6,89.3
2010-03-02,-37945.3181818,57.5318181818,217.478590909,120.681818182,125.895454545,2.57727272727,89.2409090909
2010-03-03,-37907.6363636,57.4636363636,217.469181818,120.663636364,125.890909091,2.55454545455,89.1818181818
2010-03-04,-37869.9545455,57.3954545455,217.459772727,120.645454545,125.886363636,2.53181818182,89.1227272727
2010-03-05,-37832.2727273,57.3272727273,217.450363636,120.627272727,125.881818182,2.50909090909,89.0636363636
2010-03-08,-37794.5909091,57.2590909091,217.440954545,120.609090909,125.877272727,2.48636363636,89.0045454545
2010-03-09,-37756.9090909,57.1909090909,217.431545455,120.590909091,125.872727273,2.46363636364,88.9454545455
2010-03-10,-37719.2272727,57.1227272727,217.422136364,120.572727273,125.868181818,2.44090909091,88.8863636364
2010-03-11,-37681.5454545,57.0545454545,217.412727273,120.554545455,125.863636364,2.41818181818,88.8272727273
2010-03-12,-37643.8636364,56.9863636364,217.403318182,120.536363636,125.859090909,2.39545454545,88.7681818182
2010-03-15,-37606.1818182,56.9181818182,217.393909091,120.518181818,125.854545455,2.37272727273,88.7090909091
2010-03-16,-37568.5,56.85,217.3845,120.5,125.85,2.35,88.65
2010-03-17,-37530.8181818,56.7818181818,217.375090909,120.481818182,125.845454545,2.32727272727,88.5909090909
2010-03-18,-37493.1363636,56.7136363636,217.365681818,120.463636364,125.840909091,2.30454545455,88.5318181818
2010-03-19,-37455.4545455,56.6454545455,217.356272727,120.445454545,125.836363636,2.28181818182,88.4727272727
2010-03-22,-37417.7727273,56.5772727273,217.346863636,120.427272727,125.831818182,2.25909090909,88.4136363636
2010-03-23,-37380.0909091,56.5090909091,217.337454545,120.409090909,125.827272727,2.23636363636,88.3545454545
2010-03-24,-37342.4090909,56.4409090909,217.328045455,120.390909091,125.822727273,2.21363636364,88.2954545455
2010-03-25,-37304.7272727,56.3727272727,217.318636364,120.372727273,125.818181818,2.19090909091,88.2363636364
2010-03-26,-37267.0454545,56.3045454545,217.309227273,120.354545455,125.813636364,2.16818181818,88.1772727273
2010-03-29,-37229.3636364,56.2363636364,217.299818182,120.336363636,125.809090909,2.14545454545,88.1181818182
2010-03-30,-37191.6818182,56.1681818182,217.290409091,120.318181818,125.804545455,2.12272727273,88.0590909091
2010-03-31,-37154.0,56.1,217.281,120.3,125.8,2.1,88.0
2010-04-01,-37330.3636364,56.2272727273,217.284272727,120.340909091,125.822727273,2.10909090909,87.9454545455
2010-04-02,-37506.7272727,56.3545454545,217.287545455,120.381818182,125.845454545,2.11818181818,87.8909090909
2010-04-05,-37683.0909091,56.4818181818,217.290818182,120.422727273,125.868181818,2.12727272727,87.8363636364
2010-04-06,-37859.4545455,56.6090909091,217.294090909,120.463636364,125.890909091,2.13636363636,87.7818181818
2010-04-07,-38035.8181818,56.7363636364,217.297363636,120.504545455,125.913636364,2.14545454545,87.7272727273
2010-04-08,-38212.1818182,56.8636363636,217.300636364,120.545454545,125.936363636,2.15454545455,87.6727272727
2010-04-09,-38388.5454545,56.9909090909,217.303909091,120.586363636,125.959090909,2.16363636364,87.6181818182
2010-04-12,-38564.9090909,57.1181818182,217.307181818,120.627272727,125.981818182,2.17272727273,87.5636363636
2010-04-13,-38741.2727273,57.2454545455,217.310454545,120.668181818,126.004545455,2.18181818182,87.5090909091
